Track URI;Track Name;Artist URI(s);Artist Name(s);Album URI;Album Name;Album Artist URI(s);Album Artist Name(s);Album Release Date;Album Image URL
spotify:track:3tP0kdmWRSqmJAt4nR3ykw;Mississippi;spotify:artist:2rmQ5EEAIkloNGWdGlvCYM;Pussycat;spotify:album:0A1kkCm8cEEPcA6yIkz1wr;First Of All;spotify:artist:2rmQ5EEAIkloNGWdGlvCYM;Pussycat;1976-01-01;https://i.scdn.co/image/ab67616d0000b273f29bea2413e6f0ceb1fa84cb
spotify:track:2760p399WNJLX9LGBkjL4Z;Flava;spotify:artist:2C0Cu6wbLYQyXl8MDwH2JE;Nathaniel;spotify:album:0RsPmRzTbarQCXBgLSW5Ox;Yours;spotify:artist:2C0Cu6wbLYQyXl8MDwH2JE;Nathaniel;2016-01-01;https://i.scdn.co/image/ab67616d0000b273c911d9842660be1965a41daf
spotify:track:5yJCo7EewUcX9qj5nnk9O2;Baby Sittin' Boogie - Radio Version;spotify:artist:4Z1spMbjudmqwjyBPleP7s;Buzz Clifford;spotify:album:1LL6GWTsMYiRc0fwGfoU3h;Rock & Roll 50s & 60s Mix;spotify:artist:0LyfQWJT6nXafLPZqxe9Of;Various Artists;2016-10-01;https://i.scdn.co/image/ab67616d0000b27325a738dc864174811aa67d1b
spotify:track:2uiyVyP0Rvl0MgB8ehoc07;Dr. Love;spotify:artist:7Jbs4wPCLaKXPxrTxZ2zaa;Tina Charles;spotify:album:60XZbb6xRKj7waYqeJi3wz;Dance Little Lady;spotify:artist:7Jbs4wPCLaKXPxrTxZ2zaa;Tina Charles;2012-03-20;https://i.scdn.co/image/ab67616d0000b273327142437c88efaea2c92823
spotify:track:2J22VgQALSoekF3KCj1nIk;Landslide (Glee Cast Version) (feat. Gwyneth Paltrow);spotify:artist:0SCbttzoZTnLFebDYmAWCm, spotify:artist:4njFVSUWyxD84ur7w8Oy7h;Glee Cast, Gwyneth Paltrow;spotify:album:21c5423eTa6tKyMs9DKGW7;Landslide (Glee Cast Version) (feat. Gwyneth Paltrow);spotify:artist:0SCbttzoZTnLFebDYmAWCm;Glee Cast;2011-03-08;https://i.scdn.co/image/ab67616d0000b2733ca397d1402604db8256d98f
spotify:track:1O0BTayCdWgQYAYYUynSpe;I'm Free;spotify:artist:5BEYGWk6aPdNXxBx9pwU8S, spotify:artist:0qPUDOVD0aYR2lmCilnscs;The Soup Dragons, Junior Reid;spotify:album:6WLRzKWVxm6qPEUBMVG5cH;20 Golden Greats;spotify:artist:5BEYGWk6aPdNXxBx9pwU8S;The Soup Dragons;2012;https://i.scdn.co/image/ab67616d0000b2736c7cafd01f0541a44b794dda
spotify:track:1PWnAEQcbwQwK759otUbta;"Writing's On The Wall - From ""Spectre"" Soundtrack";spotify:artist:2wY79sveU1sp5g7SokKOiI;Sam Smith;spotify:album:50bQvrNAFsAaIbqCcfD7FT;Writing's On The Wall;spotify:artist:2wY79sveU1sp5g7SokKOiI;Sam Smith;2015-09-25;https://i.scdn.co/image/ab67616d0000b2737fb4266023aacbea214d8b56
spotify:track:59mUgn4E4DWcB2lh5oRG2I;If You Can't Give Me Love - 2017 Remaster;spotify:artist:15jHZ1EZwmm2QDjKctvqJQ;Suzi Quatro;spotify:album:1F8Hmjm8xJC1OhSEMn7pDR;If You Knew Suzi… (2017 Remaster);spotify:artist:15jHZ1EZwmm2QDjKctvqJQ;Suzi Quatro;1978-08-12;https://i.scdn.co/image/ab67616d0000b273cc802c70869d97777ac42ed6
spotify:track:6YndZBGmLySgsVScckWkmO;Take Yourself Home;spotify:artist:3WGpXCj9YhhfX11TToZcXP;Troye Sivan;spotify:album:0F9bpInUaHGru63OHqBuQ8;Take Yourself Home;spotify:artist:3WGpXCj9YhhfX11TToZcXP;Troye Sivan;2020-04-01;https://i.scdn.co/image/ab67616d0000b27316ae382f29670572f8931a75
spotify:track:3yDhZq8f17SmumVmEyCaRN;Give It Up;spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo;KC & The Sunshine Band;spotify:album:52BJ1S5NOv7eFD6ZFDZga2;All In a Night's Work (Expanded Version);spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo;KC & The Sunshine Band;2016-03-11;https://i.scdn.co/image/ab67616d0000b273070bc5edcb93d3f394b9445d
spotify:track:4X8KnalmdKJE4C0vMb8CmD;Homecoming;spotify:artist:6we2CCxymhh4v30lZRhhpa;Hey Monday;spotify:album:5BNmZXVJX3h8WbtXyRTRln;Hold On Tight;spotify:artist:6we2CCxymhh4v30lZRhhpa;Hey Monday;2008-10-07;https://i.scdn.co/image/ab67616d0000b273dd1d9e19cfe34dac93983739
spotify:track:5ibhWB91OHgTVVwtVFMLKP;Funhouse - Main Version - Clean;spotify:artist:1KCSPY1glIKqW2TotWuXOR;P!nk;spotify:album:0OHvyFSN4W0fjJ7CiehVMB;La Guestlist;spotify:artist:0LyfQWJT6nXafLPZqxe9Of;Various Artists;2009-10-19;https://i.scdn.co/image/ab67616d0000b2734a490f262d6ee358e959c2cc
spotify:track:2h1IPjP471JJRSShTHRUhi;Dangerous Woman;spotify:artist:66CXWjxzNUsdJxJ2JdwvnR;Ariana Grande;spotify:album:4lVR2fg3DAUQpGVJ6DciHW;Dangerous Woman;spotify:artist:66CXWjxzNUsdJxJ2JdwvnR;Ariana Grande;2016-05-20;https://i.scdn.co/image/ab67616d0000b2737227f5854239a059af211d5b
spotify:track:0IRHUlQ9XCp5aG9NIruLu2;Abergavenny;spotify:artist:49Jb7NSMLFMM3n8M7BNRxN;Marty Wilde;spotify:album:6MLD7tcwokFlJ4Nu048flm;The Full Marty;spotify:artist:49Jb7NSMLFMM3n8M7BNRxN;Marty Wilde;2010-01-01;https://i.scdn.co/image/ab67616d0000b27302197c4fa96092f17d6b1b39
spotify:track:71kj6vbwfqjThqsDxhtYPE;That's All You Gotta Do;spotify:artist:4cPHsZM98sKzmV26wlwD2W;Brenda Lee;spotify:album:7B4ewUWVdSC9yuFGiFWuem;Ultimate Collection, Vol. 1;spotify:artist:4cPHsZM98sKzmV26wlwD2W;Brenda Lee;2015-03-06;https://i.scdn.co/image/ab67616d0000b27337f474838296378c820e7d72
spotify:track:4oX4WNqPhgKQrl5W4tdt7V;Its Alright;spotify:artist:5EkpFNNGJTnndTQLzqTFut;Deni Hines;spotify:album:7IgYFMrRiybuW2T85jklrC;Delicious;spotify:artist:5EkpFNNGJTnndTQLzqTFut;Deni Hines;2002;https://i.scdn.co/image/ab67616d0000b273330f98c991dc1d9788db5119
spotify:track:0HoMdjB1XwwMlyPfTV7DEj;Metal Guru;spotify:artist:3dBVyJ7JuOMt4GE9607Qin;T. Rex;spotify:album:3Dg3quPRLDCsEqnzgPl6PE;The Slider;spotify:artist:3dBVyJ7JuOMt4GE9607Qin;T. Rex;1972-07-21;https://i.scdn.co/image/ab67616d0000b27305657aedd93e64aef6cf3973
spotify:track:37Q5anxoGWYdRsyeXkkNoI;Heaven Is A Place On Earth;spotify:artist:7xkAwz0bQTGDSbkofyQt3U;Belinda Carlisle;spotify:album:3fzHLg5RfRXzQlHlR4F7JG;Greatest Vol.1 - Belinda Carlisle;spotify:artist:7xkAwz0bQTGDSbkofyQt3U;Belinda Carlisle;1987;https://i.scdn.co/image/ab67616d0000b273e0f0aa947770fe74049dbba3
spotify:track:6F8MwPCU40qIrl605yp9dP;Paper In Fire;spotify:artist:3lPQ2Fk5JOwGWAF3ORFCqH;John Mellencamp;spotify:album:0vMm7ACFW8V1dY4ETr0LNN;The Lonesome Jubilee (Remastered);spotify:artist:3lPQ2Fk5JOwGWAF3ORFCqH;John Mellencamp;1987;https://i.scdn.co/image/ab67616d0000b2739dd7d74d685bb6c3ac060b73
spotify:track:6oDPg7fXW3Ug3KmbafrXzA;Wrecking Ball;spotify:artist:5YGY8feqx7naU7z4HrwZM6;Miley Cyrus;spotify:album:1aUeYy0hXu0KBuJ5To0hS0;Wrecking Ball;spotify:artist:5YGY8feqx7naU7z4HrwZM6;Miley Cyrus;2013-08-25;https://i.scdn.co/image/ab67616d0000b2733889f04c48f6bf57649c282c
spotify:track:1PZ5mBtpRXZj8aMgQQYcro;Deep End;spotify:artist:2WX2uTcsvV5OnS0inACecP;Birdy;spotify:album:2uNFpEVey5RsxzTdoDmjiz;Beautiful Lies (Deluxe);spotify:artist:2WX2uTcsvV5OnS0inACecP;Birdy;2016-03-25;https://i.scdn.co/image/ab67616d0000b27392121265e6db1e410533136d
spotify:track:4bT2zLVv2T4GiK9q9KtI0v;Stay The Night - Featuring Hayley Williams Of Paramore;spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:6Rx1JKzBrSzoKQtmbVmBnM;Zedd, Hayley Williams;spotify:album:7iC7iQaeRrG33H6VInfl00;Clarity (Deluxe);spotify:artist:2qxJFvFYMEDqd7ui6kSAcq;Zedd;2014-01-01;https://i.scdn.co/image/ab67616d0000b27339667b8510033317b3553ca4
spotify:track:34KTEhpPjq6IAgQg2yzJAL;Californication;spotify:artist:0L8ExT028jH3ddEcZwqJJ5;Red Hot Chili Peppers;spotify:album:0fLhefnjlIV3pGNF9Wo8CD;Californication;spotify:artist:0L8ExT028jH3ddEcZwqJJ5;Red Hot Chili Peppers;1999-06-08;https://i.scdn.co/image/ab67616d0000b273a9249ebb15ca7a5b75f16a90
spotify:track:4pbJqGIASGPr0ZpGpnWkDn;We Will Rock You - Remastered 2011;spotify:artist:1dfeR4HaWDbWqFHLkxsg1d;Queen;spotify:album:7tB40pGzj6Tg0HePj2jWZt;News Of The World (2011 Remaster);spotify:artist:1dfeR4HaWDbWqFHLkxsg1d;Queen;1977-10-28;https://i.scdn.co/image/ab67616d0000b2731f7077ae1018b5fbab08dfa8
spotify:track:3Ymi51lilmxnc9eRnfi32D;My Island Home;spotify:artist:1ZpVSSw9S84o1nUHdlie49;Warumpi Band;spotify:album:56hiT6YRCDxQZGhA8vzqhW;Go Bush!;spotify:artist:1ZpVSSw9S84o1nUHdlie49;Warumpi Band;1987-04-03;https://i.scdn.co/image/ab67616d0000b2732d4b9569dac21d231bd68115
spotify:track:0gPQTLaqHDgdupKEok7J2x;7 Days;spotify:artist:2JyWXPbkqI5ZJa3gwqVa0c;Craig David;spotify:album:5TedEgCbtmvDnXzUtXEFJY;Born to Do It;spotify:artist:2JyWXPbkqI5ZJa3gwqVa0c;Craig David;2000-08-14;https://i.scdn.co/image/ab67616d0000b2737c2e92fb2302f8e8fcd9b389
spotify:track:4pCSXZwffXEmxYuHAzVIXQ;Shoop Shoop Diddy Wop Cumma Cumma Wang Dang;spotify:artist:5MJAppfS5mnKHGtfQIjJI4;Monte Video;spotify:album:2YI0nSvfqdSmRteWw26PDE;Monte Video;spotify:artist:5MJAppfS5mnKHGtfQIjJI4;Monte Video;1983-12-01;https://i.scdn.co/image/ab67616d0000b273338fc7f81d0d15b3e31e95fd
spotify:track:1kpbM1hlD3sQ2rDKbe2guE;Regardless;spotify:artist:23IZADrJHPStZ6aMxJVq3s, spotify:artist:4gZRt9wlRx1IsxT9glJdrc;Jarryd James, Julia Stone;spotify:album:4kZKz4ZQCnuKWV6MqOR2H2;Thirty One;spotify:artist:23IZADrJHPStZ6aMxJVq3s;Jarryd James;2015-09-11;https://i.scdn.co/image/ab67616d0000b2738819357f0210af47c90a4682
spotify:track:6dGWq08LXuIw6T2oUeHECh;Convoy;spotify:artist:0iTkPxRldzi5lmS6qZ70JV;C.W. McCall;spotify:album:6XbZ0Hc2LQaLJuUaFrHfTY;C.W. McCall's Greatest Hits;spotify:artist:0iTkPxRldzi5lmS6qZ70JV;C.W. McCall;1990-01-01;https://i.scdn.co/image/ab67616d0000b273183cad608b1e5a734f052710
spotify:track:1UgKjjafmYDSgJ66NbIcBV;Pretty Flamingo;spotify:artist:5670CyWrIOA7702gNjsGMZ;Manfred Mann;spotify:album:0zwLBIFXdXAEJnPmNVhrV0;Pretty Flamingo;spotify:artist:5670CyWrIOA7702gNjsGMZ;Manfred Mann;1966-01-01;https://i.scdn.co/image/ab67616d0000b2733f757f671fbfcf6710e0c199
spotify:track:4SyowQi18ym4zJGJDBnsTj;You Know I'm No Good;spotify:artist:6Q192DXotxtaysaqNPy5yR;Amy Winehouse;spotify:album:6GJCGWfI95aeRsdtVB52vc;Back To Black;spotify:artist:6Q192DXotxtaysaqNPy5yR;Amy Winehouse;2006-01-01;https://i.scdn.co/image/ab67616d0000b2734b6583b0a1505e40779faec6
spotify:track:56qykFnmErHuUzt7FwAlAc;Turn Around (feat. Ne-Yo);spotify:artist:6mU8ucezzms5I2kNH6HNlu, spotify:artist:21E3waRsmPlU7jZsS13rcj;Conor Maynard, Ne-Yo;spotify:album:5hLWqk2l9tsRN0zICJBxsQ;Turn Around (feat. Ne-Yo);spotify:artist:6mU8ucezzms5I2kNH6HNlu;Conor Maynard;2012-10-05;https://i.scdn.co/image/ab67616d0000b27320d241ea81f6d5b40b35d860
spotify:track:1Jrn6agPxzgRMh4SKfLz7A;Morning After Dark (Featuring Nelly Furtado & SoShy);spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ;Timbaland;spotify:album:0oLeI4xFJnOBMbQJH6TgEs;Shock Value II (International Deluxe version);spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ;Timbaland;2009-01-01;https://i.scdn.co/image/ab67616d0000b2737e00fd13c89c5eadf130e951
spotify:track:1qk9ujVgudgU8CyhKOx8ji;Somebody That I Used To Know;spotify:artist:2AsusXITU8P25dlRNhcAbG, spotify:artist:6hk7Yq1DU9QcCCrz9uc0Ti;Gotye, Kimbra;spotify:album:6EMxWaM803hd4sPsJ6PkcA;Making Mirrors;spotify:artist:2AsusXITU8P25dlRNhcAbG;Gotye;2011-01-01;https://i.scdn.co/image/ab67616d0000b2731ba0ff466c68a0977a0039bc
